Video Problems|Title|Director|Studio|Country|Language|Subtitles|Year|Runtime|Timecode for Thumbnail|Filming Location|Setting City|Key Awards|Actors|Media received|Synopsis|Genre|Sub-Genre|Subject|Sub-Subject|Age 2-4|Age 5-6|Age 7-8|Age 9-12|Age 13-14|Age 14+|Issues Related to Selected Age Range|Value of the film despite Issues Related to Age Range|Profile Bucket|Mood|Homepage List|Tags Provided|Star Rating 
|Au Coeur Del'hiver |Isabelle Favez|Swiss Effects Film GmbH |Switzerland|Nonverbal ||2012|0:07:38|0:02:49|||2012 Ottawa Ontario Ottawa International Animation Festival Honorable Mention in the Short Animation Made for Children Competition, 2012 Vendôme Festival du Film de Vendôme Prix Cinécole en vendômois||AU_COEUR_DE_LHIVER_ProResHQ_H264.mov|A winter fable for children and adults alike. The film accompanies five forest inhabitants as they forage for their winter food. |Animation |Computer-Generated, Hand-Drawn |Health, Animals, Environment |Where Food Comes From, Various, Nature |||x|x|x|x|||Happy, Excited |Just Relax, Laugh Out Loud|||4
|Big Electric Light|Scott Ferril|Rent The Sky Films|USA|English||2008|0:04:38|0:00:32||||Dutch and Maari Cargill; Ally, Marya and Lilly Zdechlik; Jackson and Anna Bigley/Cargill|bigelectriclight.mov|In this music video for a song by the Tripwires, animation is mixed with live action in a dreamlike atmosphere where kids have the luxury of just being kids.|Musicals |Sing Alongs, Music Videos|Music, Child Protagonists |Popular Music, Explorers |x|x|x|x|x|x|||Happy, Excited |Just Relax |||3
|Bon Voyage |Fabio Friedli||Switzerland|Nonverbal ||2011|0:06:15|0:01:27|||2012 Rio de Janeiro Anima Mundi Festival internacional de Animação do Brasil Best Script, 2011 Swiss Competition Baden Fantoche Baden Best ||BON_VOYAGE_PR422HQ_H264.mov|Dozens of emigrants climb on to an overcrowded truck. Their goal: fortress Europe. When they arrive there after an exhausting journey, the confrontation with another brutal reality awaits them: the European handling of refugees. |Animation, Nonfiction Section, Dramatic Arts |Classic Animation, Mixed Live Action Animation, Modern Times, Lives of Others, Immigrant Experiences |Travel, Different Perspectives|Passports and Perspectives, Crosscultural|||||x|x|Mild Mature Subjects |This film sheds a bit of light on the harshness of emmigration and the immigrant experience. An important message. |Think, Excited, Care|Change the World, Learn Something New, Tough Choices |||4
|Changeling |Maria Steinmetz|Hochschule für Film und Fernsehen "Konrad Wolf"/Potsdam-Babelsberg|Germany |Nonverbal ||2011|0:08:20|0:03:34|||||Changeling.mov|A film version of the story by Selma Lagerloef about a married couple, whose child was replaced with a troll child.|Animation |Mixed Materials |Blended Family, Underdogs|New Mom, New Dad, Freaks and Geeks, Misunderstood Kids |x|x|x|x|x|x|||Excited, Care |Make New Friends, Stand Up For Something, Just Relax |||3
|Children for a Day|Glenn Pack|6 Pack Films|USA|English ||2009|0:11:46|0:05:35|||West Branch Children’s Film Festival Best Short Film Winner,SkyFest Film & Script Festival 4th Place Finisher,The Indie Fest Award of Merit,Yosemite International Film Festival John Muir Award Wnner,Flatland Film Festival James B. Storey American Experience Award,Urban Mediamaker’s Film Festival Best Short Film Nominee,Poppy Jasper Film Festival Best Social Commentary,Williamsburg International Film Festival Certificate of Merit|Breanne Elrod, Selassie Singh|ChildrenForADay.mp4|After his mother’s death, eight-year-old Alex has been waiting for her to haunt his house like she should. So he sets out to find her ghost, only to discover Missy, a beguiling older girl who intrigues and exasperates Alex. Together, they discover that something more eerie than ghosts is haunting both of their lives. |Dramatic Arts, Action and Adventure |Family Troubles, Road Movie, Social Problems, Best Buds|Friendship, Getting Sick, Parental Problems, Everyone is Equal |New Friends, Dealing With Death, Racial Equality, Class Struggles ||||x|||||Care, Excited |Change the World, Make New Friends |||4
|Choir Tour|Edmunds Jansons|Atom Art|Latvia|Nonverbal ||2012|0:05:15|0:00:19|||2013 Germany Interfilm International Short Film Festival Best Animation Award Winner, 2013 BFI London Film Festival Award for Sound & Music, ||CHOIR_TOUR.mov|A world-famous boys' choir goes on a tour. In the hands of their severe conductor they are an obedient musical instrument. But left alone without supervision, they are just playful children. Once in Seoul the conductor is accidentally trapped in the elevator, and the boys are left alone.|Animation|Mixed Materials |Friendship, Music, Travel |Just Us Boys, Classical Stylings, Passports and Perspectives |x|x|x|x|x|x|||Happy, Excited |Just Relax, Laugh Out Loud |||4
|Chump and Clump (Klotz und Klumpen)|Stephan Sacher, Michael Herm|Magnetfilm|Germany |Nonverbal ||2008|0:10:45|0:01:26|||||CHUMP_CLUMP.mpeg|Chump and Clump get to know each other at a bus stop. They just missed the bus and are now waiting for the next one, which unfortunately is only scheduled to arrive one week later. To shorten their wait, they make use of all sorts of substances, which leads to them running into difficulties when the bus finally arrives.|Animation, Comedy |Computer-Generated, Funny Friends |Harmful Stuff, Friendship |Drugs, Alcohol, Best Friends ||||||x|Excessive Drug Use |Comedic value |Happy, Laugh |Just Relax, Laugh Out Loud, Space to Think |||3
|City Wasp |Stephan Wicki, Steven Tod |Freindship Production |Switzerland, United States|Nonverbal |English |2007|0:05:53|0:02:11|Chicago |Chicago |2007 Neuchatel International Fantastic Film Festival NIFFF Best Swiss Short Film Winner|Peter Jones, Jenny Knowlton, Ed Reardon, Rebecca Jones |CITY WASP_facets.mov|Do you know that in Chicago a group of hooting and tooting cars is able to play “The Star-Spangled Banner”? The conductor of this amazing urban orchestra is an old man called “City Wasp”. Anyone who has witnessed the maestro's display, will surely observe: American patriotism incites a Red Alert! |Experimental ||Underdogs, Music, Art and Dance |Freeks and Geeks, |x|x|x|x|x|x|||Happy, Excited |Heighten My Senses, Just Relax |||5
|Colors |Pablo Vergara |Jordi El Mussel |Spain |Korean|English, Catalan |2012|0:03:26|0:02:17||||Julie Funi, Maria Kang, Aitor Pons|Colors.mov|Tolerance is the greatest power of mankind. A film about integration and non-discrimination. |Dramatic Arts, Foreign Language Film |Immigrant Experiences, Other European |Identity, Everyone is Equal, Different Perspectives |Cultural Identity, Racial Equality, Crosscultural |x|x|x|x|x|x|||Care |Make New Friends |||2
|Dirtmonster (Dreckmonster)|Maike Ramke, Christian Retzlaff|Magnetfilm|Germany |English||2007|0:09:15|0:02:13|||2007 DOK Leipzig Int. Short Film Festival, 2007 Bunter Hund, 2007 Chicago Int. Children’s Film Festival||DIRTMONSTER_english_SD-ProResHQ_H264.mov|The Story of five Dirtmonsters working for the detergent industry who have to deal with getting replaced by a more efficient Dirtmachine.|Animation, Comedy |Computer-Generated, Funny Friends |Getting Sick, Underdogs, Bad Influences |Battling Diseases, Freaks and Geeks, Outcasts |||||x|x|Mild Profanity |Comedic value|Laugh |Laugh Out Loud|||4
|Dog Walking Ground |Leonid Shmelkov|School-Studio “SHAR”|Russia|Nonverbal ||2009|0:08:14|0:05:48|||2009 Moscow Russia The Moscow Short Film Festival Grand Prix,2010 Russia Suzdal Animation Film Festival prize for the best sound solution, 2010 Bucharest Romania Animest Special Mention for a Student Film, 2011 Brussels Belgium Anima diplom in the Student Section||dog-walking ground-_H264.mp4|A little story about specific inhabitants on the dog-walking paths.|Animation |Mixed Materials |Environment, Animals |Energy Conservation, Dogs, Cats and Mice|x|x|x|x|x|x|||Think, Excited |Change the World, Space to Think |||3
